Hour,VMT (Veh-Miles),VHT (Veh-Hours),# Lane Points,% Observed
3/7/2023 6:00,"20,309,752.60","349,395.80",430728,55.10
3/7/2023 7:00,"23,917,392.70","457,901.50",430728,55.30
3/7/2023 8:00,"23,164,586.50","467,741.50",430728,55.30
3/7/2023 9:00,"21,231,321.10","399,115.80",430728,55.20
3/7/2023 10:00,"20,549,156.40","357,913.40",430728,54.20
3/7/2023 11:00,"20,579,040.90","347,073.80",430728,55.20
3/7/2023 12:00,"21,288,402.00","355,671.60",430728,55.10
3/7/2023 13:00,"22,262,297.80","374,714.50",430728,55.10
3/7/2023 14:00,"24,211,757.10","423,902.00",430728,55.10
3/7/2023 15:00,"25,159,672.80","479,022.10",430728,55.10
3/7/2023 16:00,"25,136,445.00","508,383.50",430728,55.10
3/7/2023 17:00,"24,590,850.60","509,090.20",430476,55.10
3/7/2023 18:00,"21,534,851.30","411,420.10",430728,55.00
3/7/2023 19:00,"17,424,639.20","289,294.90",430728,55.10
3/7/2023 20:00,"14,187,734.60","218,791.10",430728,55.10
3/7/2023 21:00,"11,787,486.80","176,868.90",430728,55.10
3/7/2023 22:00,"9,162,321.00","137,379.50",430655,55.10
3/7/2023 23:00,"6,463,686.90","97,513.10",430686,55.10
3/8/2023 0:00,"4,500,749.60","68,156.50",430644,55.20
3/8/2023 1:00,"3,482,952.10","53,315.20",430550,55.20
3/8/2023 2:00,"3,361,111.20","51,520.40",430497,55.20
3/8/2023 3:00,"4,335,508.30","65,800.90",430219,55.10
3/8/2023 4:00,"7,970,162.70","120,006.50",430471,55.00
3/8/2023 5:00,"14,603,577.90","222,210.80",430439,54.90
3/8/2023 6:00,"20,254,552.90","354,535.10",430429,54.90
3/8/2023 7:00,"23,931,488.20","465,276.70",430414,55.00
3/8/2023 8:00,"23,307,912.80","471,508.30",430450,55.10
3/8/2023 9:00,"21,491,376.30","403,615.20",430455,55.20
3/8/2023 10:00,"20,142,832.80","354,247.80",430440,55.00
3/8/2023 11:00,"20,853,965.10","355,851.70",430471,54.50
3/8/2023 12:00,"21,816,645.50","367,641.40",430223,51.10
3/8/2023 13:00,"22,869,282.10","388,130.20",430662,50.90
3/8/2023 14:00,"24,506,332.20","433,779.80",430644,51.00
3/8/2023 15:00,"25,318,352.40","486,615.70",430644,51.00
3/8/2023 16:00,"25,283,732.90","518,433.50",430392,51.00
3/8/2023 17:00,"24,733,799.00","519,061.50",430392,51.00
3/8/2023 18:00,"21,957,313.90","423,139.10",430371,50.90
3/8/2023 19:00,"18,080,476.70","304,061.30",430650,51.00
3/8/2023 20:00,"15,005,290.90","233,874.80",430392,51.00
3/8/2023 21:00,"12,615,415.80","189,732.10",430392,51.00
3/8/2023 22:00,"9,711,097.30","145,610.30",430644,51.00
3/8/2023 23:00,"6,711,991.90","100,938.40",430392,51.00
3/9/2023 0:00,"4,666,912.60","70,370.60",430309,51.20
3/9/2023 1:00,"3,568,135.30","54,260.80",430632,51.20
3/9/2023 2:00,"3,441,392.00","52,463.60",430632,51.20
3/9/2023 3:00,"4,431,499.40","67,071.50",430632,51.10
3/9/2023 4:00,"8,043,308.80","120,562.30",430638,51.00
3/9/2023 5:00,"14,776,935.50","222,129.60",430386,50.90
3/9/2023 6:00,"20,467,109.00","347,662.70",430380,50.80
3/9/2023 7:00,"24,397,864.90","452,945.50",430398,50.90
3/9/2023 8:00,"23,784,278.40","451,553.20",430638,51.00
3/9/2023 9:00,"21,803,170.50","396,377.50",430386,50.90
3/9/2023 10:00,"21,310,123.30","371,044.50",430638,50.90
3/9/2023 11:00,"21,556,334.10","368,403.30",430627,50.90
3/9/2023 12:00,"22,303,858.00","381,300.30",430638,50.90
3/9/2023 13:00,"23,179,113.20","405,145.70",430632,51.00
3/9/2023 14:00,"24,513,185.90","456,772.70",430632,51.00
3/9/2023 15:00,"24,990,865.50","507,871.30",430632,51.00
3/9/2023 16:00,"24,864,416.10","532,137.40",430632,50.90
3/9/2023 17:00,"24,148,943.80","532,225.50",430632,50.80
3/9/2023 18:00,"21,397,785.90","429,417.90",430632,50.80
3/9/2023 19:00,"18,158,796.20","321,446.70",430638,50.80
3/9/2023 20:00,"15,428,765.10","254,184.90",430644,50.80
3/9/2023 21:00,"13,226,643.60","207,728.60",430632,50.80
3/9/2023 22:00,"10,527,901.80","164,689.50",430632,50.80
3/9/2023 23:00,"7,673,858.80","121,111.10",430632,50.80
3/10/2023 0:00,"4,972,290.30","75,432.60",430537,55.90
3/10/2023 1:00,"3,861,346.40","58,941.60",430626,55.90
3/10/2023 2:00,"3,645,753.40","55,718.40",430878,55.80
3/10/2023 3:00,"4,390,662.10","66,932.10",430878,55.90
3/10/2023 4:00,"7,423,810.70","112,762.60",430872,55.80
3/10/2023 5:00,"13,008,220.60","198,087.30",430878,55.60
3/10/2023 6:00,"17,999,777.90","299,607.10",430872,55.50
3/10/2023 7:00,"22,025,378.70","392,051.80",430878,55.60
3/10/2023 8:00,"21,921,153.00","398,845.80",430872,55.70
3/10/2023 9:00,"20,630,577.90","362,159.20",430867,55.70
3/10/2023 10:00,"20,746,687.90","362,385.90",430872,55.50
3/10/2023 11:00,"21,644,622.90","378,123.00",430872,55.60
3/10/2023 12:00,"22,331,978.10","398,105.20",430872,55.50
3/10/2023 13:00,"23,052,225.30","425,968.00",430615,55.50
3/10/2023 14:00,"23,813,236.20","473,316.70",430872,55.60
3/10/2023 15:00,"23,935,290.50","510,975.00",430872,55.50
3/10/2023 16:00,"23,796,784.60","512,872.60",430873,55.50
3/10/2023 17:00,"23,403,827.90","493,696.30",430872,55.40
3/10/2023 18:00,"21,348,180.40","407,082.60",430872,55.40
3/10/2023 19:00,"18,506,679.80","312,416.30",430620,55.50
3/10/2023 20:00,"15,707,141.30","247,948.60",430872,55.40
3/10/2023 21:00,"13,816,459.90","211,282.50",430872,55.30
3/10/2023 22:00,"11,661,714.30","177,011.20",430872,55.40
3/10/2023 23:00,"8,802,417.60","133,885.10",430878,55.40
3/11/2023 0:00,"6,318,427.50","96,232.00",430916,56.10
3/11/2023 1:00,"4,691,206.10","71,500.70",431028,56.10
3/11/2023 2:00,"4,021,269.00","61,275.30",431028,56.10
3/11/2023 3:00,"3,709,229.70","56,883.30",431028,56.00
3/11/2023 4:00,"4,450,231.40","67,816.20",430968,55.90
3/11/2023 5:00,"6,483,866.60","98,068.80",430962,55.90
3/11/2023 6:00,"9,788,944.30","148,907.20",430968,55.80
3/11/2023 7:00,"13,576,411.90","208,563.80",430956,55.90
3/11/2023 8:00,"16,992,790.50","263,860.30",430968,56.00
3/11/2023 9:00,"20,017,811.10","315,951.60",430956,55.90
3/11/2023 10:00,"22,041,308.40","357,066.40",430962,56.00
3/11/2023 11:00,"23,003,591.50","382,756.60",430962,56.00
3/11/2023 12:00,"23,360,518.90","396,381.60",430956,56.00
3/11/2023 13:00,"23,463,837.40","399,472.30",430956,56.00
3/11/2023 14:00,"23,541,168.70","397,139.60",430956,56.00
3/11/2023 15:00,"23,387,174.10","392,496.60",430956,56.00
3/11/2023 16:00,"22,899,709.70","381,020.00",430956,56.00
3/11/2023 17:00,"21,876,198.50","359,899.10",430956,56.00
3/11/2023 18:00,"20,146,657.50","327,786.90",430956,56.00
3/11/2023 19:00,"17,280,620.90","271,792.90",430956,55.90
3/11/2023 20:00,"15,243,957.00","234,784.50",430956,56.00
3/11/2023 21:00,"14,232,828.60","213,922.00",430956,56.00
3/11/2023 22:00,"12,625,694.10","189,690.00",430962,56.00
3/11/2023 23:00,"9,748,256.30","146,682.80",430704,55.90
3/12/2023 0:00,"6,859,898.50","102,864.50",431103,56.00
3/12/2023 1:00,"4,903,423.40","73,769.10",431208,56.00
3/12/2023 3:00,"3,998,133.10","60,240.70",431214,56.00
3/12/2023 4:00,"3,797,094.00","57,265.90",431214,56.00
3/12/2023 5:00,"4,593,674.90","69,138.00",431214,56.00
3/12/2023 6:00,"6,418,317.20","96,897.60",431214,55.90
3/12/2023 7:00,"8,413,264.20","126,890.20",431208,55.80
3/12/2023 8:00,"11,427,046.20","173,260.40",431220,55.90
3/12/2023 9:00,"15,306,085.70","235,349.70",431214,56.00
3/12/2023 10:00,"18,705,705.20","292,115.20",431232,56.00
3/12/2023 11:00,"20,972,337.70","333,710.80",431220,56.10
3/12/2023 12:00,"22,548,349.50","366,497.00",431208,56.00
3/12/2023 13:00,"23,055,834.00","381,523.90",431238,56.00
3/12/2023 14:00,"23,141,445.60","384,056.70",431220,55.90
3/12/2023 15:00,"22,861,702.10","380,012.00",431208,55.60
3/12/2023 16:00,"22,303,599.90","366,390.30",430962,55.90
3/12/2023 17:00,"21,401,161.60","345,751.10",431208,56.00
3/12/2023 18:00,"19,758,639.30","314,482.60",430962,56.00
3/12/2023 19:00,"17,960,895.60","287,922.60",431214,56.00
3/12/2023 20:00,"16,243,116.80","259,343.90",430935,55.90
3/12/2023 21:00,"14,148,892.80","215,033.00",431193,55.90
3/12/2023 22:00,"10,887,227.10","163,093.80",431214,55.90
3/12/2023 23:00,"7,440,297.10","111,783.10",430956,56.00
3/13/2023 0:00,"4,977,465.70","74,810.70",431093,55.70
3/13/2023 1:00,"3,647,405.10","55,201.50",431214,55.80
3/13/2023 2:00,"3,358,248.90","51,004.90",431208,55.80
3/13/2023 3:00,"4,318,038.20","65,132.70",431208,55.70
3/13/2023 4:00,"7,810,755.70","117,513.60",431208,55.60
3/13/2023 5:00,"13,972,716.90","213,868.40",431214,55.50
3/13/2023 6:00,"18,762,484.60","318,395.90",431214,55.50
3/13/2023 7:00,"22,851,620.00","410,729.70",431208,55.50
3/13/2023 8:00,"22,596,215.70","408,057.50",431214,55.60
3/13/2023 9:00,"20,595,629.90","354,375.00",431214,55.70
3/13/2023 10:00,"20,180,193.40","340,105.70",431208,55.70
3/13/2023 11:00,"20,624,322.20","346,040.50",431214,55.70
3/13/2023 12:00,"21,515,263.90","361,439.30",431203,55.70
3/13/2023 13:00,"22,385,727.90","377,700.40",431208,55.70
3/13/2023 14:00,"24,048,434.60","417,643.60",431208,55.70
3/13/2023 15:00,"24,976,578.80","464,065.30",431208,55.70
3/13/2023 16:00,"24,957,819.10","484,714.40",431214,55.70
3/13/2023 17:00,"24,548,788.90","472,733.20",431208,55.70
3/13/2023 18:00,"20,995,106.50","362,379.40",431208,55.70
3/13/2023 19:00,"17,067,056.50","271,468.60",431208,55.70
3/13/2023 20:00,"14,074,558.40","217,387.90",431208,55.70
3/13/2023 21:00,"11,745,775.30","177,280.90",431208,55.50
3/13/2023 22:00,"9,235,705.80","139,074.40",431208,55.70
3/13/2023 23:00,"6,569,068.20","99,278.70",430956,55.70
3/14/2023 0:00,"4,611,615.70","69,763.20",431089,56.20
3/14/2023 1:00,"3,568,891.90","54,359.70",431208,56.20
3/14/2023 2:00,"3,382,310.20","51,609.10",431208,56.40
3/14/2023 3:00,"4,271,132.50","64,856.20",431208,56.30
3/14/2023 4:00,"7,613,506.80","114,820.00",431208,56.20
3/14/2023 5:00,"13,686,336.80","206,876.80",431208,56.20
3/14/2023 6:00,"18,519,612.80","318,093.50",431214,56.20
3/14/2023 7:00,"22,505,473.10","422,135.00",431214,56.10
3/14/2023 8:00,"22,008,194.70","426,079.70",431208,56.10
3/14/2023 9:00,"19,976,821.30","362,650.70",431208,56.20
3/14/2023 10:00,"19,076,342.00","329,837.40",431214,56.10
3/14/2023 11:00,"19,033,775.90","329,287.00",431214,56.00
3/14/2023 12:00,"19,623,730.80","341,583.60",431208,56.10
3/14/2023 13:00,"20,352,080.10","359,433.90",431220,56.10
3/14/2023 14:00,"21,783,591.30","400,490.40",431208,56.10
3/14/2023 15:00,"22,645,406.10","442,845.70",431232,56.10
3/14/2023 16:00,"22,646,920.80","461,034.40",431250,56.00
3/14/2023 17:00,"22,423,203.80","459,465.20",431238,56.00
3/14/2023 18:00,"19,343,420.10","358,821.60",431256,55.20
3/14/2023 19:00,"15,675,848.50","263,279.40",431268,56.00
3/14/2023 20:00,"13,012,533.40","209,121.10",431274,55.80
3/14/2023 21:00,"11,124,012.70","171,623.10",431262,55.70
3/14/2023 22:00,"8,860,941.40","135,878.00",431262,55.80
3/14/2023 23:00,"6,434,463.90","99,102.10",431028,55.80
3/15/2023 0:00,"4,607,860.60","70,507.00",430995,55.90
3/15/2023 1:00,"3,510,832.80","54,104.80",431268,55.90
3/15/2023 2:00,"3,353,329.00","51,802.60",431280,55.80
3/15/2023 3:00,"4,283,975.50","66,147.20",431262,55.70
3/15/2023 4:00,"7,538,749.70","117,347.20",431286,55.60
3/15/2023 5:00,"13,598,257.10","212,861.30",431262,53.10
3/15/2023 6:00,"18,577,427.20","327,657.90",431254,53.10
3/15/2023 7:00,"22,674,012.80","434,327.40",431164,53.00
3/15/2023 8:00,"22,202,587.80","446,483.70",430997,53.10
3/15/2023 9:00,"20,551,446.00","385,586.00",430875,49.50
3/15/2023 10:00,"20,186,594.30","353,045.50",430785,38.70
3/15/2023 11:00,"20,479,899.50","349,697.00",430767,38.70
3/15/2023 12:00,"21,295,338.20","360,515.30",431011,47.30
3/15/2023 13:00,"22,084,030.30","373,842.00",430970,53.40
3/15/2023 14:00,"23,820,382.80","416,270.80",430724,48.80
3/15/2023 15:00,"24,945,945.10","458,974.30",430766,38.70
3/15/2023 16:00,"25,113,413.60","480,197.00",430735,38.70
3/15/2023 17:00,"24,642,724.70","476,931.80",430797,38.70
3/15/2023 18:00,"21,299,951.50","375,974.20",430725,38.60
3/15/2023 19:00,"17,425,873.40","278,949.60",430746,38.70
3/15/2023 20:00,"14,698,138.60","227,508.30",430751,38.50
3/15/2023 21:00,"12,498,855.10","187,254.60",430715,38.20
3/15/2023 22:00,"9,709,165.90","145,142.80",430756,38.00
3/15/2023 23:00,"6,737,083.60","100,837.60",430734,38.10
3/16/2023 0:00,"4,623,599.10","69,322.10",430816,38.60
3/16/2023 1:00,"3,479,943.80","52,634.80",430807,38.60
3/16/2023 2:00,"3,299,445.30","50,132.30",430786,38.50
3/16/2023 3:00,"4,260,347.00","64,241.50",430797,38.40
3/16/2023 4:00,"7,911,026.70","117,937.20",430786,38.20
3/16/2023 5:00,"14,499,454.30","218,211.40",430791,38.10
3/16/2023 6:00,"20,007,342.80","341,361.80",430881,38.20
3/16/2023 7:00,"23,970,250.30","443,391.10",430793,38.20
3/16/2023 8:00,"23,776,533.00","456,898.40",431021,45.70
3/16/2023 9:00,"21,912,121.90","403,683.00",431011,53.20
3/16/2023 10:00,"21,373,183.30","373,439.60",431002,53.20
3/16/2023 11:00,"21,541,975.50","367,003.50",430813,49.50
3/16/2023 12:00,"22,474,011.30","379,221.60",430801,38.50
3/16/2023 13:00,"23,473,403.90","398,107.80",431016,39.70
3/16/2023 14:00,"24,878,692.00","447,833.40",431041,53.10
3/16/2023 15:00,"25,600,745.20","502,749.50",431015,53.10
3/16/2023 16:00,"25,564,718.10","532,555.20",431084,53.10
3/16/2023 17:00,"25,176,449.40","532,154.80",431026,53.00
3/16/2023 18:00,"22,572,181.40","429,314.30",431046,53.10
3/16/2023 19:00,"19,352,179.50","324,536.50",431052,53.00
3/16/2023 20:00,"16,576,996.50","260,440.70",431035,53.00
3/16/2023 21:00,"14,082,215.60","212,555.20",431000,52.90
3/16/2023 22:00,"11,005,830.30","164,981.20",431016,52.90
3/16/2023 23:00,"7,657,866.80","115,224.80",430748,52.90
3/17/2023 0:00,"5,297,080.70","79,927.20",431147,53.20
3/17/2023 1:00,"4,009,494.10","60,745.50",431103,53.20
3/17/2023 2:00,"3,754,749.80","57,037.10",431146,53.20
3/17/2023 3:00,"4,511,483.40","68,165.10",431146,53.20
3/17/2023 4:00,"7,756,463.20","116,249.30",431144,52.70
3/17/2023 5:00,"13,799,766.90","207,346.90",431160,52.60
3/17/2023 6:00,"17,665,967.10","289,624.90",431212,52.90
3/17/2023 7:00,"19,281,888.50","330,296.50",431113,53.10
3/17/2023 8:00,"22,439,905.20","391,079.10",431140,53.20
3/17/2023 9:00,"21,819,302.20","372,129.90",431160,53.40
3/17/2023 10:00,"22,044,235.30","375,304.40",431140,53.40
3/17/2023 11:00,"23,117,822.10","395,914.70",431134,53.40
3/17/2023 12:00,"24,032,485.00","419,550.40",431170,53.40
3/17/2023 13:00,"24,846,864.20","446,439.20",431133,53.40
3/17/2023 14:00,"25,976,470.40","494,435.20",431139,53.40
3/17/2023 15:00,"26,186,532.90","533,085.80",431144,53.40
3/17/2023 16:00,"25,911,427.30","538,999.80",431118,53.40
3/17/2023 17:00,"25,602,497.10","514,527.10",431129,53.30
3/17/2023 18:00,"23,508,904.90","421,953.10",431154,53.30
3/17/2023 19:00,"20,659,358.80","336,918.30",431123,53.30
3/17/2023 20:00,"18,063,645.40","280,712.00",431145,53.30
3/17/2023 21:00,"15,786,631.70","236,672.50",431118,53.20
3/17/2023 22:00,"13,139,126.40","197,152.70",431103,53.30
3/17/2023 23:00,"9,755,352.60","146,514.80",430883,53.30
3/18/2023 0:00,"6,924,553.60","103,748.00",431124,53.80
3/18/2023 1:00,"5,137,683.30","77,147.40",431093,53.90
3/18/2023 2:00,"4,415,459.40","66,321.00",431155,53.90
3/18/2023 3:00,"3,992,558.40","60,222.60",431149,53.90
3/18/2023 4:00,"4,742,873.40","71,346.30",431135,53.80
3/18/2023 5:00,"7,062,562.70","105,582.90",430846,53.70
3/18/2023 6:00,"10,674,357.30","161,856.60",431167,53.70
3/18/2023 7:00,"14,716,944.40","224,158.50",431165,53.80
3/18/2023 8:00,"18,445,833.10","283,347.80",431134,53.90
3/18/2023 9:00,"21,452,665.70","337,069.70",431129,53.80
3/18/2023 10:00,"23,417,213.20","384,467.20",431175,53.90
3/18/2023 11:00,"24,441,542.90","416,530.90",431161,53.90
3/18/2023 12:00,"24,891,510.50","438,660.60",431149,53.90
3/18/2023 13:00,"24,927,999.90","448,363.30",431123,53.90
3/18/2023 14:00,"24,970,717.30","449,769.40",431149,53.90
3/18/2023 15:00,"24,808,262.10","447,728.30",431113,53.90
3/18/2023 16:00,"24,569,387.50","439,213.60",431170,53.90
3/18/2023 17:00,"23,921,217.00","415,205.60",431114,53.90
3/18/2023 18:00,"22,198,613.80","370,553.70",431118,53.80
3/18/2023 19:00,"19,547,533.80","313,045.10",431113,53.70
3/18/2023 20:00,"17,487,013.80","274,738.60",431140,53.70
3/18/2023 21:00,"16,054,003.20","245,007.80",431143,53.60
3/18/2023 22:00,"14,270,632.50","214,797.00",431169,53.70
3/18/2023 23:00,"10,733,055.80","160,047.40",431154,53.70
3/19/2023 0:00,"7,494,307.60","112,114.20",431211,53.70
3/19/2023 1:00,"5,217,129.40","78,591.20",431196,53.80
3/19/2023 2:00,"4,153,761.40","62,700.90",431169,53.80
3/19/2023 3:00,"3,386,466.20","51,370.00",430923,53.80
3/19/2023 4:00,"3,524,032.70","53,379.40",431204,53.80
3/19/2023 5:00,"4,663,487.40","70,342.60",430901,53.70
3/19/2023 6:00,"6,695,917.70","101,350.50",431190,53.70
3/19/2023 7:00,"8,984,198.40","135,764.50",431169,53.60
3/19/2023 8:00,"12,266,069.50","186,111.00",431175,53.70
3/19/2023 9:00,"16,484,429.50","253,568.60",431180,53.70
3/19/2023 10:00,"19,957,447.00","313,532.20",431148,53.80
3/19/2023 11:00,"22,066,879.60","356,322.20",431148,53.80
3/19/2023 12:00,"23,454,632.80","387,923.80",431175,53.80
3/19/2023 13:00,"23,790,927.00","403,691.30",431154,53.80
3/19/2023 14:00,"23,599,354.30","406,293.20",431154,53.60
3/19/2023 15:00,"23,288,542.80","398,810.50",431148,53.80
3/19/2023 16:00,"22,885,856.90","384,475.50",431149,53.90
3/19/2023 17:00,"21,824,993.70","358,010.40",431154,53.80
3/19/2023 18:00,"20,132,132.10","324,340.00",431169,53.70
3/19/2023 19:00,"17,942,104.40","288,943.10",431169,53.60
3/19/2023 20:00,"16,137,144.90","259,544.50",431217,53.60
3/19/2023 21:00,"13,750,599.90","210,751.30",431154,53.60
3/19/2023 22:00,"10,579,272.00","159,973.10",431166,53.60
3/19/2023 23:00,"7,183,633.10","108,279.40",431165,53.50
3/20/2023 0:00,"4,821,064.00","73,046.50",431175,53.60
3/20/2023 1:00,"3,568,042.90","54,406.00",431196,53.60
3/20/2023 2:00,"3,336,598.40","50,862.90",431165,53.50
3/20/2023 3:00,"4,331,650.20","65,782.40",431165,53.50
3/20/2023 4:00,"7,809,542.90","118,628.30",430917,53.40
3/20/2023 5:00,"13,869,059.10","213,188.90",431175,53.30
3/20/2023 6:00,"18,783,592.80","323,135.90",431190,53.20
3/20/2023 7:00,"22,639,336.70","418,499.60",431175,53.20
3/20/2023 8:00,"22,464,733.70","423,309.10",431196,53.30
3/20/2023 9:00,"20,754,610.50","364,375.10",431169,53.40
3/20/2023 10:00,"20,450,962.20","346,204.00",431169,53.50
3/20/2023 11:00,"20,900,753.20","348,893.90",431148,53.40
3/20/2023 12:00,"21,755,504.40","360,003.20",431149,53.20
3/20/2023 13:00,"22,623,136.90","374,994.20",431148,53.40
3/20/2023 14:00,"24,315,481.20","412,651.20",431175,53.50
3/20/2023 15:00,"25,217,401.40","451,386.40",431169,53.50
3/20/2023 16:00,"25,213,398.20","462,678.50",431164,53.40
3/20/2023 17:00,"24,658,006.50","446,389.20",431154,53.50
3/20/2023 18:00,"20,611,756.00","341,377.50",431148,53.50
3/20/2023 19:00,"16,637,600.20","260,007.20",431154,53.50
3/20/2023 20:00,"13,928,496.80","215,475.60",431160,53.50
3/20/2023 21:00,"11,661,314.30","175,375.30",431154,53.50
3/20/2023 22:00,"9,011,762.70","135,035.30",431148,53.60
3/20/2023 23:00,"6,396,736.70","96,471.70",431174,53.60
3/21/2023 0:00,"4,454,460.70","67,586.60",430896,53.80
3/21/2023 1:00,"3,443,626.80","52,753.00",430809,53.80
3/21/2023 2:00,"3,299,698.10","50,668.50",430863,53.80
3/21/2023 3:00,"4,219,759.60","64,556.20",430872,53.70
3/21/2023 4:00,"7,392,038.80","113,411.00",430824,53.50
3/21/2023 5:00,"13,175,802.70","204,202.60",430815,53.40
3/21/2023 6:00,"17,915,168.40","312,963.90",430851,53.30
3/21/2023 7:00,"21,693,465.90","422,284.10",430821,53.40
3/21/2023 8:00,"21,166,947.10","441,504.90",430830,53.50
3/21/2023 9:00,"19,345,703.60","376,289.20",430836,53.30
3/21/2023 10:00,"18,645,886.30","335,112.70",430814,53.30
3/21/2023 11:00,"18,834,646.80","325,045.30",430820,53.50
3/21/2023 12:00,"19,719,096.60","332,709.50",430846,53.30
3/21/2023 13:00,"20,650,402.50","345,593.70",430820,53.30
3/21/2023 14:00,"22,307,415.90","384,792.50",430830,53.60
3/21/2023 15:00,"23,248,009.20","426,230.30",430809,53.50
3/21/2023 16:00,"22,949,959.10","446,242.10",430804,53.20
3/21/2023 17:00,"22,228,979.20","447,430.10",430815,53.00
3/21/2023 18:00,"18,912,205.00","348,436.90",430788,52.90
3/21/2023 19:00,"15,068,555.70","254,574.80",430788,53.10
3/21/2023 20:00,"12,838,226.10","208,448.90",430794,53.20
3/21/2023 21:00,"10,965,159.20","170,948.60",430794,53.20
3/21/2023 22:00,"8,832,763.90","135,066.30",430830,53.20
3/21/2023 23:00,"6,292,874.90","95,858.40",430856,53.20
3/22/2023 0:00,"4,436,192.80","67,393.30",430798,53.00
3/22/2023 1:00,"3,419,929.30","52,446.80",430835,52.60
3/22/2023 2:00,"3,314,310.50","50,938.20",430788,52.10
3/22/2023 3:00,"4,217,941.80","64,563.90",430819,52.10
3/22/2023 4:00,"7,467,484.10","113,245.40",430830,52.10
3/22/2023 5:00,"13,707,464.40","207,850.20",430794,52.00
3/22/2023 6:00,"18,731,755.20","323,027.20",430836,52.00
3/22/2023 7:00,"22,848,701.10","429,495.40",430893,52.40
3/22/2023 8:00,"22,412,583.30","435,985.00",430809,52.70
3/22/2023 9:00,"20,645,233.00","376,176.10",430798,52.80
3/22/2023 10:00,"20,170,423.30","348,924.80",430814,52.80
3/22/2023 11:00,"20,413,648.60","344,154.00",430835,52.80
3/22/2023 12:00,"21,302,914.70","355,264.60",430800,52.80
3/22/2023 13:00,"22,322,002.40","379,144.70",431112,51.90
3/22/2023 14:00,"23,817,867.10","420,894.80",431112,52.80
3/22/2023 15:00,"24,677,373.90","457,057.60",431112,52.80
3/22/2023 16:00,"24,835,088.30","481,400.10",431112,52.80
3/22/2023 17:00,"24,429,203.20","484,802.30",431112,52.80
3/22/2023 18:00,"21,105,359.70","381,036.30",431112,52.80
3/22/2023 19:00,"17,234,869.70","282,281.00",431058,52.90
3/22/2023 20:00,"14,580,054.80","230,169.60",431040,52.90
3/22/2023 21:00,"12,382,229.60","190,087.20",431040,53.00
3/22/2023 22:00,"9,724,516.20","146,755.50",431040,53.00
3/22/2023 23:00,"6,904,485.90","104,018.60",430794,53.00
3/23/2023 0:00,"4,771,209.00","72,057.50",430982,53.10
3/23/2023 1:00,"3,619,768.10","55,182.30",431052,53.20
3/23/2023 2:00,"3,452,920.90","52,814.80",431046,53.10
3/23/2023 3:00,"4,410,154.20","66,945.10",431046,53.00
3/23/2023 4:00,"7,954,196.40","119,568.20",431040,52.90
3/23/2023 5:00,"14,368,768.10","216,871.20",431046,52.80
3/23/2023 6:00,"19,673,700.60","336,613.20",431058,52.20
3/23/2023 7:00,"23,649,553.10","441,421.60",431112,52.70
3/23/2023 8:00,"23,202,315.70","450,657.90",431112,52.80
3/23/2023 9:00,"21,688,246.10","397,444.60",431112,52.90
3/23/2023 10:00,"21,125,961.20","369,651.50",431112,52.90
3/23/2023 11:00,"21,500,444.40","372,563.10",431112,53.00
3/23/2023 12:00,"22,467,810.30","386,383.00",431112,53.00
3/23/2023 13:00,"23,532,287.90","407,708.80",431112,53.10
